srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,firstTime,flast,blast,class
192.168.1.103,1860,192.168.1.101,139,6,11,1429,10,1254,40,129,304,88,40,125,327,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1429,10,1254,8,8,0,0,448,408,0,1276318831,1276318831,1276318831,normal
192.168.1.103,1861,192.168.1.101,139,6,11,1429,10,1155,40,129,304,88,40,115,327,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1429,10,1155,8,8,0,0,448,408,0,1276318831,1276318831,1276318831,normal
192.168.1.101,4342,205.178.187.13,80,6,5,282,4,354,40,56,114,32,40,88,226,91,65,16,65,32,6,23,65,35,71,71,71,71,0,0,0,0,0,5,282,4,354,1,1,0,0,208,168,0,1276318761,1276318826,1276318832,normal
131.202.240.218,52765,192.168.5.122,80,6,5,384,5,1038,52,76,168,51,52,207,822,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,384,5,1038,1,1,0,0,268,268,0,1276318832,1276318832,1276318832,normal
192.168.4.121,51788,65.54.81.218,80,6,6,848,4,339,40,141,636,242,40,84,207,81,4,3,11,4,4,1,4,2,15,15,15,15,0,0,0,0,0,6,848,4,339,1,1,0,0,252,172,0,1276318820,1276318835,1276318824,normal
192.168.3.115,3971,192.168.5.122,80,6,32,2184,93,105572,40,68,137,39,40,1135,1500,529,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,32,2184,93,105572,11,28,0,0,1288,3736,0,1276318834,1276318835,1276318835,normal
192.168.3.115,3972,74.220.195.150,80,6,9,450,12,13335,40,50,122,27,40,1111,1500,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,450,12,13335,1,2,0,0,368,488,0,1276318837,1276318837,1276318837,normal
192.168.2.113,4746,69.63.189.26,80,6,10,547,12,11464,40,54,119,29,40,955,1500,684,0,11,100,33,0,9,100,30,100,100,100,100,0,0,0,0,0,10,547,12,11464,2,5,0,0,408,488,0,1276318749,1276318849,1276318849,normal
192.168.2.113,4747,142.166.14.79,80,6,6,349,4,542,40,58,141,40,40,135,414,185,0,20,100,44,100,33,100,57,100,100,100,100,0,0,0,0,0,6,349,4,542,1,1,0,0,248,168,0,1276318749,1276318849,1276318849,normal
192.168.4.121,51789,65.54.81.165,80,6,6,848,4,339,40,141,636,242,40,84,207,81,4,3,11,4,4,1,4,2,15,15,15,15,0,0,0,0,0,6,848,4,339,1,1,0,0,252,172,0,1276318835,1276318850,1276318839,normal
192.168.2.106,3331,192.168.2.113,139,6,11,1429,10,1335,40,129,304,88,40,133,327,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1429,10,1335,8,8,0,0,448,408,0,1276318853,1276318853,1276318853,normal
192.168.2.106,3332,192.168.2.113,139,6,11,1429,10,1155,40,129,304,88,40,115,327,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1429,10,1155,8,8,0,0,448,408,0,1276318853,1276318853,1276318853,normal
192.168.2.108,1365,192.168.5.122,110,6,8,367,15,752,40,45,55,5,40,50,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,367,15,752,4,10,0,0,328,616,0,1276318860,1276318860,1276318860,normal
192.168.4.121,51790,65.54.81.121,80,6,6,848,4,338,40,141,636,242,40,84,206,81,4,4,16,6,4,1,4,2,20,20,20,20,0,0,0,0,0,6,848,4,338,1,1,0,0,252,172,0,1276318850,1276318870,1276318854,normal
192.168.4.121,51791,65.54.81.30,80,6,6,848,5,378,40,141,636,242,40,75,206,73,4,3,11,4,4,3,11,5,15,15,15,15,0,0,0,0,0,6,848,5,378,1,1,0,0,252,212,0,1276318865,1276318880,1276318880,normal
192.168.2.109,4065,72.21.210.5,80,6,16,1021,15,13641,40,63,134,35,40,909,1500,648,0,6,100,25,100,7,100,26,100,100,100,100,0,0,0,0,0,16,1021,15,13641,5,5,0,0,648,604,0,1276318780,1276318880,1276318880,normal
192.168.56.1,51447,75.127.97.72,80,6,20,17684,7,400,52,884,1500,705,40,57,60,7,3,5,53,12,1,17,73,27,105,105,105,105,0,0,0,0,0,20,17684,7,400,2,0,0,0,1048,400,0,1276318782,1276318887,1276318887,attack
192.168.1.104,16265,216.109.86.150,80,6,34,1566,59,74783,40,46,140,23,40,1267,1420,413,0,3,100,17,100,1,100,13,101,101,101,101,0,0,0,0,0,34,1566,59,74783,2,2,0,0,1368,2364,0,1276318786,1276318887,1276318887,normal
192.168.56.1,51499,75.127.97.72,80,6,20,17684,7,400,52,884,1500,705,40,57,60,7,2,5,53,12,1,17,73,27,105,105,105,105,0,0,0,0,0,20,17684,7,400,2,0,0,0,1048,400,0,1276318783,1276318888,1276318888,attack
192.168.56.1,51594,75.127.97.72,80,6,20,17684,7,400,52,884,1500,705,40,57,60,7,1,5,53,12,2,17,73,27,105,105,105,105,0,0,0,0,0,20,17684,7,400,2,0,0,0,1048,400,0,1276318785,1276318890,1276318890,attack
192.168.56.1,51595,75.127.97.72,80,6,20,17684,7,400,52,884,1500,705,40,57,60,7,1,5,53,12,2,17,73,27,105,105,105,105,0,0,0,0,0,20,17684,7,400,2,0,0,0,1048,400,0,1276318785,1276318890,1276318890,attack
192.168.2.106,3333,192.168.5.122,110,6,8,367,15,752,40,45,55,5,40,50,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,367,15,752,4,10,0,0,328,616,0,1276318891,1276318891,1276318891,normal
192.168.2.110,1869,64.236.92.18,80,6,5,274,5,760,40,54,106,28,40,152,592,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,274,5,760,1,1,0,0,208,208,0,1276318891,1276318891,1276318891,normal
192.168.56.1,51612,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,1,17,75,28,107,107,107,107,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318786,1276318893,1276318893,attack
192.168.56.1,51513,75.127.97.72,80,6,20,16992,7,400,52,849,1500,737,40,57,60,7,1,5,53,12,1,17,75,28,109,109,109,109,0,0,0,0,0,20,16992,7,400,0,0,0,0,1064,400,0,1276318784,1276318893,1276318893,attack
192.168.56.1,51572,75.127.97.72,80,6,20,16992,7,400,52,849,1500,737,40,57,60,7,1,5,53,12,1,17,75,28,109,109,109,109,0,0,0,0,0,20,16992,7,400,0,0,0,0,1064,400,0,1276318785,1276318894,1276318894,attack
192.168.56.1,51681,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,1,17,75,28,107,107,107,107,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318787,1276318894,1276318894,attack
192.168.4.121,51792,65.54.81.30,80,6,6,848,4,338,40,141,636,242,40,84,206,81,4,3,11,4,4,1,4,2,15,15,15,15,0,0,0,0,0,6,848,4,338,1,1,0,0,252,172,0,1276318880,1276318895,1276318884,normal
192.168.2.110,1872,69.84.133.138,80,6,13,673,18,22071,40,51,185,40,40,1226,1420,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,673,18,22071,1,1,0,0,528,728,0,1276318895,1276318895,1276318895,normal
192.168.2.110,1875,69.84.133.138,80,6,13,654,18,22071,40,50,166,34,40,1226,1420,463,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,13,654,18,22071,1,1,0,0,528,728,0,1276318895,1276318896,1276318896,normal
192.168.2.110,1874,69.84.133.138,80,6,13,625,18,22071,40,48,137,26,40,1226,1420,463,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,13,625,18,22071,1,1,0,0,528,728,0,1276318895,1276318896,1276318896,normal
192.168.56.1,51740,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,2,5,54,12,1,17,76,29,108,108,108,108,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318788,1276318896,1276318896,attack
192.168.56.1,51750,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,2,17,75,28,108,108,108,108,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318788,1276318896,1276318896,attack
192.168.2.110,1876,69.84.133.138,80,6,13,636,18,22071,40,48,148,29,40,1226,1420,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,636,18,22071,1,1,0,0,528,728,0,1276318896,1276318896,1276318896,normal
192.168.2.110,1877,69.84.133.138,80,6,13,645,18,22071,40,49,157,32,40,1226,1420,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,645,18,22071,1,1,0,0,528,728,0,1276318896,1276318896,1276318896,normal
192.168.2.110,1878,69.84.133.138,80,6,13,648,18,22071,40,49,160,33,40,1226,1420,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,648,18,22071,1,1,0,0,528,728,0,1276318896,1276318896,1276318896,normal
192.168.2.110,1879,69.84.133.138,80,6,13,627,18,22071,40,48,139,27,40,1226,1420,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,627,18,22071,1,1,0,0,528,728,0,1276318896,1276318896,1276318896,normal
192.168.56.1,51791,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,54,12,2,17,75,28,108,108,108,108,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318789,1276318897,1276318897,attack
192.168.2.110,1880,69.84.133.138,80,6,13,630,18,22071,40,48,142,28,40,1226,1420,463,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,13,630,18,22071,1,1,0,0,528,728,0,1276318896,1276318897,1276318897,normal
192.168.56.1,51811,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,1,17,75,28,107,107,107,107,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318790,1276318897,1276318897,attack
192.168.56.1,51562,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,53,12,1,17,75,28,113,113,113,113,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318785,1276318898,1276318898,attack
192.168.56.1,51890,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,2,5,54,12,1,17,76,29,108,108,108,108,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318791,1276318899,1276318899,attack
192.168.56.1,51820,75.127.97.72,80,6,20,16992,7,400,52,849,1500,737,40,57,60,7,1,5,54,12,1,17,76,29,110,110,110,110,0,0,0,0,0,20,16992,7,400,0,0,0,0,1064,400,0,1276318790,1276318900,1276318900,attack
192.168.56.1,51651,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,53,12,2,17,75,28,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318786,1276318900,1276318900,attack
192.168.56.1,51978,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,1,17,75,28,107,107,107,107,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318793,1276318900,1276318900,attack
192.168.56.1,51720,75.127.97.72,80,6,21,17052,7,400,52,812,1500,739,40,57,60,7,1,5,54,12,1,17,76,29,114,114,114,114,0,0,0,0,0,21,17052,7,400,0,0,0,0,1124,400,0,1276318788,1276318902,1276318902,attack
192.168.56.1,52047,75.127.97.72,80,6,21,17744,7,400,52,844,1500,710,40,57,60,7,1,5,53,12,2,17,75,28,108,108,108,108,0,0,0,0,0,21,17744,7,400,2,0,0,0,1108,400,0,1276318794,1276318902,1276318902,attack
192.168.3.115,3973,98.130.115.113,80,6,52,2240,95,136124,40,43,132,15,40,1432,1500,298,0,1,57,8,6,0,57,5,64,64,64,64,0,0,0,0,0,52,2240,95,136124,2,18,0,0,2088,3808,0,1276318838,1276318902,1276318902,normal
192.168.56.1,51968,75.127.97.72,80,6,20,16992,7,400,52,849,1500,737,40,57,60,7,1,5,54,12,1,17,76,29,110,110,110,110,0,0,0,0,0,20,16992,7,400,0,0,0,0,1064,400,0,1276318793,1276318903,1276318903,attack
192.168.56.1,51414,75.127.97.72,80,6,22,17112,7,400,52,777,1500,739,40,57,60,7,1,5,53,12,1,17,75,28,121,121,121,121,0,0,0,0,0,22,17112,7,400,0,0,0,0,1184,400,0,1276318782,1276318903,1276318903,attack
